0,1,2,3
2016-03-08,20.0091,10.8191,9.1901
2016-03-07,20.2063,8.5216,11.6847
2016-03-04,17.8732,5.6004,12.2728
2016-03-03,14.8155,2.5322,12.2833
2016-03-02,11.3682,-0.5386,11.9068
2016-03-01,7.5105,-3.5154,11.0259
2016-02-29,3.3022,-6.2718,9.5741
2016-02-26,2.5787,-8.6653,11.2441
2016-02-25,0.0070,-11.4764,11.4834
2016-02-24,-3.6472,-14.3472,10.7001
2016-02-23,-6.0284,-17.0222,10.9939
2016-02-22,-8.1115,-19.7707,11.6592
2016-02-19,-13.1193,-22.6855,9.5662
2016-02-18,-16.4979,-25.0771,8.5791
2016-02-17,-20.5754,-27.2218,6.6465
2016-02-16,-26.3957,-28.8835,2.4877
2016-02-12,-30.2599,-29.5054,-0.7545
2016-02-11,-31.6159,-29.3167,-2.2991
2016-02-10,-29.2518,-28.7420,-0.5099
2016-02-09,-28.1283,-28.6145,0.4862
2016-02-08,-26.3208,-28.7360,2.4152
2016-02-05,-23.7562,-29.3398,5.5836
2016-02-04,-22.8467,-30.7357,7.8890
