timestamp,close,open,high,low,volume,Slow K Stoch,Slow D Stock,EMA20,MA5,MA10,,WVAD,RSI,,TEDRATE,TradeWeightedUSDollarIndex,VIX close
6/23/16,210.81,209.81,210.87,209.27,102731356,77.3872,63.1427,208.82,208.344,208.4399,2084.208,-24.6753,58.215,61.1606,0.36,119.6094,17.25
6/24/16,203.13,203.63,210.8463,202.72,333444397,55.4322,65.3345,208.2781,207.666,207.7459,2078.342,-95.8163,37.0065,38.0857,0.36,121.4301,25.76
6/27/16,199.6,201.59,201.6,198.65,248988660,37.211,56.6768,207.4516,206.016,206.861,2070.49,-93.1507,31.3526,31.8085,0.37,122.4244,23.85
6/28/16,203.1997,201.48,203.23,201.12,159382399,16.6788,36.4407,207.0466,204.9679,206.377,2066.567,-66.4724,41.2156,41.7735,0.39,122.0156,18.75
6/29/16,206.66,204.84,206.93,204.72,137328614,36.8513,30.247,207.0098,204.6799,206.268,2066.494,-34.4517,48.8269,49.5229,0.39,121.1017,16.64
6/30/16,209.475,207.21,209.54,206.56,165021948,63.8454,39.1252,207.2446,204.4129,206.3785,2068.581,-11.4157,54.0403,54.7734,0.38,121.381,15.63
7/1/16,209.9208,209.36,210.49,209.29,106055333,83.1658,61.2875,207.4995,205.7711,206.7185,2071.754,-7.7676,54.8252,55.4992,0.385,120.8807,14.77
7/5/16,208.41,208.95,209.08,207.71,109803713,87.2502,78.0871,207.5862,207.5331,206.7745,2072.284,-20.1309,51.6084,52.3158,0.39,121.6754,15.58
7/6/16,209.66,207.83,209.8,207.06,96021491,86.2031,85.5397,207.7837,208.8252,206.8965,2073.367,-9.9018,54.0126,54.498,0.37,121.7975,14.96
7/7/16,209.526,209.87,210.6495,208.63,85593827,78.648,84.0338,207.9496,209.3984,207.0391,2074.612,-10.9984,53.7046,54.0619,0.4,121.8163,14.76
7/8/16,212.65,211.05,212.94,210.7785,133970972,84.4035,83.0849,208.3973,210.0334,207.2231,2076.27,-2.0294,59.5029,60.0781,0.36,121.6186,13.2
7/11/16,213.4,213.19,214.07,212.95,73633937,86.0125,83.0213,208.8737,210.7292,208.2501,2086.245,-4.345,60.7732,61.3159,0.38,121.7605,13.54
7/12/16,214.95,214.53,215.3,213.4308,101275629,93.7542,88.0567,209.4524,212.0372,209.7851,2101.405,-2.1021,63.3329,63.8093,0.37,121.3755,13.55
7/13/16,214.92,215.44,215.45,214.35,87324129,92.8078,90.8582,209.9731,213.0892,210.9572,2113.039,-3.1548,63.2469,63.8579,0.37,121.2864,13.04
7/14/16,216.12,216.4,216.67,215.66,91230870,92.8819,93.148,210.5586,214.408,211.9032,2122.337,-3.0522,65.2785,65.7879,0.38,121.0205,12.82
7/15/16,215.83,216.78,217.0125,215.308,107155401,84.5952,90.095,211.0606,215.044,212.5387,2128.625,-6.4398,64.3527,65.1229,0.38,121.5368,12.67
7/18/16,216.4092,215.97,216.6,215.67,58725918,81.571,86.3493,211.57,215.6458,213.1875,2135.0189,-3.7961,65.4079,66.0693,0.39,121.5258,12.44
7/19/16,216.19,215.92,216.23,215.63,54345728,74.3854,80.1839,212.01,215.8938,213.9655,2142.5419,-6.6911,64.6282,64.9237,0.38,121.9028,11.97
7/20/16,217.085,216.75,217.37,216.24,58159457,79.4808,78.4791,212.4933,216.3268,214.708,2149.8709,-2.6364,66.3899,66.7675,0.4,121.9353,11.77
7/21/16,216.265,216.96,217.22,215.75,67777310,67.2326,73.6996,212.8525,216.3558,215.3819,2156.5979,-10.7177,63.2802,63.7037,0.4,121.8815,12.74
7/22/16,217.24,216.41,217.3,216.1,62787477,75.0395,73.9176,213.2704,216.6378,215.8409,2161.111,-1.2609,65.3579,65.825,0.41,122.2317,12.02
7/25/16,216.65,217,217.06,215.97,55873147,65.8536,69.3752,213.5923,216.686,216.1659,2164.243,-6.9835,63.0336,63.1833,0.43,122.4442,12.87
7/26/16,216.75,216.53,217.17,215.76,70080493,70.9593,70.6174,213.893,216.798,216.3459,2165.947,-7.0938,63.272,63.3525,0.44,122.3088,13.05
7/27/16,216.52,217.19,217.27,215.62,84083893,57.9735,64.9288,214.1432,216.685,216.5059,2167.362,-12.8954,62.2771,62.2085,0.51,122.4631,12.83
7/28/16,216.77,216.29,217.11,215.75,65035718,61.2507,63.3945,214.3934,216.786,216.5709,2167.993,-13.5747,62.9589,63.1673,0.49,121.9738,12.72
7/29/16,217.12,216.46,217.54,216.13,79519436,66.7163,61.9802,214.653,216.762,216.6999,2169.179,-10.221,63.9415,64.1633,0.47,121.0759,11.87
8/1/16,216.94,217.19,217.65,216.405,73311422,70.534,66.167,214.8708,216.82,216.753,2169.574,-21.5152,63.0157,62.7388,0.48,121.1652,12.44
8/2/16,215.5492,216.65,216.83,214.57,92295506,58.3139,65.1881,214.9354,216.5798,216.6889,2168.899,-68.2078,56.2401,56.0356,0.5,120.891,13.37
8/3/16,216.18,215.48,216.245,215.13,53993626,49.6965,59.5148,215.054,216.5118,216.5984,2167.976,-47.7273,58.4236,58.3797,0.53,121.1455,12.86
8/4/16,216.4097,216.31,216.78,214.25,46585528,49.1952,52.4019,215.1831,216.4398,216.6129,2167.884,-36.4794,59.2216,58.5417,0.52,121.0906,12.42
8/5/16,218.18,217.21,218.23,217.07,71892161,71.5123,56.8013,215.4685,216.6518,216.7069,2168.668,-1.2563,64.8246,64.5555,0.5,121.5302,11.39
