timestamp,close,open,high,low,EMA20,MA5,MA10,SlowK,SlowD,WVAD
9/28/17,2510.0601,2503.4099,2510.8101,2502.9299,2491.0894,2502.564,2503.241,71.7781,56.572,-4.5392
9/29/17,2519.3601,2509.96,2519.4399,2507.99,2493.7818,2505.992,2505.154,90.9216,72.4453,-0.2542
10/2/17,2529.1201,2521.2,2529.23,2520.3999,2497.1474,2512.4841,2507.679,97.4331,86.7109,-0.2667
10/3/17,2534.5801,2530.3401,2535.1299,2528.8501,2500.7124,2520.0321,2510.472,99.3406,95.8984,-1.1673
10/4/17,2537.74,2533.48,2540.53,2531.8,2504.2388,2526.1721,2513.422,96.9519,97.9085,-5.3144
10/5/17,2552.0701,2540.8601,2552.51,2540.02,2508.7942,2534.5741,2518.569,96.7299,97.6741,-0.6823
10/6/17,2549.3301,2547.4399,2549.4099,2543.79,2512.6547,2540.5681,2523.2801,93.8961,95.8593,-4.9317
10/9/17,2544.73,2551.3899,2551.8201,2541.6001,2515.7095,2543.69,2528.0871,85.4086,92.0115,-12.0658
10/10/17,2550.6399,2549.99,2555.23,2544.8601,2519.0362,2546.902,2533.467,79.2078,86.1708,-6.8305
10/11/17,2555.24,2550.6201,2555.24,2547.95,2522.4842,2550.402,2538.287,82.5089,82.3751,0
10/12/17,2550.9299,2552.8799,2555.3301,2548.3101,2525.1933,2550.174,2542.374,82.7872,81.5013,-6.5381
10/13/17,2553.1699,2555.6599,2557.6499,2552.0901,2527.8578,2550.9419,2545.755,80.0131,81.7697,-7.1646
10/16/17,2557.6399,2555.5701,2559.47,2552.6399,2530.6942,2553.5239,2548.607,75.8377,79.546,-2.8793
10/17/17,2559.3601,2557.1699,2559.71,2554.6899,2533.4242,2555.268,2551.085,85.5286,80.4598,-0.6162
10/18/17,2561.26,2562.8701,2564.1101,2559.6699,2536.0753,2556.472,2553.437,88.8201,83.3954,-5.0786
10/19/17,2562.1001,2553.3899,2562.3601,2547.9199,2538.5538,2558.706,2554.44,88.8572,87.7353,-4.5985
10/20/17,2575.21,2567.5601,2575.4399,2567.5601,2542.0449,2563.114,2557.028,89.5703,89.0825,-0.4936
10/23/17,2564.98,2578.0801,2578.29,2564.3301,2544.2292,2564.582,2559.053,80.9744,86.4673,-28.6299
10/24/17,2569.1299,2568.6599,2572.1799,2565.5801,2546.6007,2566.536,2560.902,75.0588,81.8678,-23.9356
10/25/17,2557.1499,2566.52,2567.3999,2544,2547.6054,2565.714,2561.093,54.787,70.2734,-57.6183
10/26/17,2560.3999,2560.0801,2567.0701,2559.8,2548.8239,2565.3739,2562.04,52.0048,60.6169,-48.7603
